Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/11/2021,6,9915.45,9982.87,2031.03,110.52,22039.87
1/11/2021,7,10951.33,10970.09,2276.15,121.24,24318.83
1/11/2021,8,11857.28,11554.33,2459.87,121.22,25992.70
1/11/2021,9,11949.50,11688.13,2300.07,108.33,26046.04
1/11/2021,10,11438.47,11265.93,2087.72,93.93,24886.05
1/11/2021,11,10823.97,10934.71,1919.57,81.95,23760.20
1/11/2021,12,10291.67,10650.41,1868.85,71.38,22882.31
1/11/2021,13,9952.08,10504.09,1743.05,65.85,22265.06
1/11/2021,14,9784.62,10523.24,1784.65,62.03,22154.54
1/11/2021,15,10018.39,10611.98,1915.64,60.59,22606.60
1/11/2021,16,10583.49,10852.65,2133.40,60.77,23630.31
1/11/2021,17,11344.15,11214.00,2342.85,67.80,24968.81
1/11/2021,18,12594.31,12129.40,2649.84,78.82,27452.37
1/11/2021,19,12762.95,12215.55,2660.63,82.15,27721.27
1/11/2021,20,12435.84,11975.41,2575.36,83.78,27070.39
1/11/2021,21,12002.40,11663.79,2468.64,86.02,26220.84
1/11/2021,22,11506.54,11296.55,2336.61,85.71,25225.41
1/11/2021,23,10705.91,10742.03,2160.52,83.84,23692.30
1/11/2021,24,9990.23,10156.93,2004.98,83.79,22235.93
1/12/2021,1,9625.14,9724.36,1922.54,85.31,21357.35
1/12/2021,2,9339.11,9433.00,1849.34,87.28,20708.73
1/12/2021,3,9185.68,9288.13,1809.89,90.16,20373.85
1/12/2021,4,9160.18,9278.17,1805.07,94.26,20337.68
1/12/2021,5,9410.55,9551.20,1869.20,101.40,20932.34
1/12/2021,6,10019.01,10175.52,2034.48,110.96,22339.97
1/12/2021,7,11012.60,11112.64,2268.20,120.45,24513.87
1/12/2021,8,11800.70,11474.45,2415.59,121.96,25812.70
1/12/2021,9,12112.71,11568.45,2272.81,109.51,26063.48
1/12/2021,10,12145.24,11301.49,2062.12,96.25,25605.10
1/12/2021,11,12012.79,10990.61,1920.52,83.06,25006.98
1/12/2021,12,11731.62,10868.16,1822.08,72.96,24494.82
1/12/2021,13,11441.67,10844.46,1784.03,67.00,24137.16
1/12/2021,14,11389.86,10790.43,1812.94,63.51,24056.73
1/12/2021,15,11248.92,11124.18,1919.10,62.44,24354.63
1/12/2021,16,11353.00,11314.94,2250.45,65.46,24983.85
1/12/2021,17,11679.31,11426.52,2373.33,72.34,25551.49
1/12/2021,18,12682.89,12249.57,2637.05,80.83,27650.33
1/12/2021,19,12687.39,12296.06,2649.65,81.84,27714.94
1/12/2021,20,12319.76,12027.08,2553.74,82.78,26983.35
1/12/2021,21,11864.09,11704.38,2437.66,84.09,26090.21
1/12/2021,22,11289.55,11278.84,2333.32,82.03,24983.74
1/12/2021,23,10569.45,10698.62,2146.65,81.53,23496.26
1/12/2021,24,9847.17,10094.68,2007.61,79.78,22029.24
1/13/2021,1,9457.92,9720.87,1960.81,80.10,21219.70
1/13/2021,2,9141.60,9410.05,1899.60,81.86,20533.10
1/13/2021,3,9012.50,9250.90,1842.81,85.34,20191.55
1/13/2021,4,9024.94,9252.14,1832.36,88.70,20198.15
1/13/2021,5,9246.28,9512.44,1876.25,94.07,20729.03
1/13/2021,6,9852.64,10131.39,2024.72,103.35,22112.09
1/13/2021,7,10793.31,10999.41,2246.96,112.57,24152.25
1/13/2021,8,11533.13,11446.28,2320.35,113.75,25413.51
1/13/2021,9,11630.81,11491.64,2264.62,102.03,25489.10
1/13/2021,10,11078.98,11132.24,2107.60,89.35,24408.17
1/13/2021,11,10502.59,10709.10,1866.56,79.87,23158.13
1/13/2021,12,10131.40,10650.75,1822.32,58.23,22650.71
1/13/2021,13,9716.40,10663.84,1814.87,54.93,22250.05
1/13/2021,14,9627.24,10647.03,1841.27,52.11,22167.64
1/13/2021,15,9852.21,10629.37,2145.95,50.10,22677.64
1/13/2021,16,10362.51,10846.59,2189.44,41.06,23439.59
1/13/2021,17,11077.33,11168.88,2411.46,52.83,24710.50
1/13/2021,18,12120.95,12002.37,2650.53,62.14,26835.99
1/13/2021,19,12301.31,12130.47,2616.07,64.27,27112.12
1/13/2021,20,11943.43,11900.25,2549.43,65.13,26458.24
1/13/2021,21,11569.96,11680.19,2442.11,65.16,25757.42
1/13/2021,22,11023.34,11222.84,2322.35,63.82,24632.36
1/13/2021,23,10304.35,10632.12,2129.38,60.79,23126.64
1/13/2021,24,9629.57,10127.94,2017.14,60.16,21834.80
1/14/2021,1,9254.58,9657.48,1894.78,60.31,20867.15
1/14/2021,2,8964.64,9343.08,1830.98,61.16,20199.85
1/14/2021,3,8857.39,9151.63,1778.59,63.77,19851.38
1/14/2021,4,8869.71,9145.18,1768.71,66.31,19849.90
1/14/2021,5,9088.22,9358.82,1817.96,72.20,20337.20
1/14/2021,6,9698.37,9940.14,1940.77,80.12,21659.40
1/14/2021,7,10647.24,10801.13,2161.05,88.04,23697.45
1/14/2021,8,11370.75,11212.61,2274.40,91.14,24948.89
1/14/2021,9,11296.78,11278.44,2225.94,90.51,24891.68
1/14/2021,10,10796.30,10874.74,2088.89,83.74,23843.67
1/14/2021,11,10173.42,10601.73,1955.13,74.46,22804.74
1/14/2021,12,9870.23,10579.69,1945.74,61.64,22457.30
1/14/2021,13,9786.90,10557.20,1960.45,57.38,22361.93
1/14/2021,14,9967.77,10708.03,2036.84,46.66,22759.30
1/14/2021,15,10098.99,10852.94,2067.95,47.69,23067.56
1/14/2021,16,10271.74,11257.30,2216.75,52.37,23798.16
1/14/2021,17,10997.64,11563.80,2392.07,47.17,25000.69
1/14/2021,18,11987.60,12232.43,2608.37,53.72,26882.13
1/14/2021,19,12177.48,12260.71,2612.89,54.82,27105.91
1/14/2021,20,11880.31,11927.20,2499.10,52.84,26359.46
1/14/2021,21,11471.07,11532.90,2375.16,51.68,25430.80
1/14/2021,22,10968.69,11089.93,2246.62,50.10,24355.34
1/14/2021,23,10312.61,10461.87,2085.97,47.89,22908.34
1/14/2021,24,9664.39,9965.06,1942.73,47.11,21619.29
1/15/2021,1,9236.90,9494.88,1902.95,47.68,20682.42
1/15/2021,2,8961.57,9162.64,1828.07,49.27,20001.55
1/15/2021,3,8929.49,8961.48,1778.70,51.97,19721.64
1/15/2021,4,8931.99,8916.39,1755.84,56.24,19660.47
1/15/2021,5,9155.97,9115.45,1788.62,62.28,20122.32
1/15/2021,6,9764.66,9627.17,1902.26,70.89,21364.98
1/15/2021,7,10699.85,10402.77,2059.38,80.92,23242.93
1/15/2021,8,11394.42,10775.02,2146.08,84.06,24399.56
1/15/2021,9,11467.88,10865.63,2089.34,84.89,24507.74
1/15/2021,10,11107.79,10747.83,1964.79,80.11,23900.53
1/15/2021,11,10722.28,10744.90,1813.69,71.24,23352.10
1/15/2021,12,10124.55,10804.43,1800.28,64.05,22793.32
1/15/2021,13,9501.01,11047.75,1856.78,60.37,22465.91
1/15/2021,14,9581.94,11371.37,1976.59,58.93,22988.83
1/15/2021,15,9857.98,11541.09,2129.93,58.18,23587.18
1/15/2021,16,10284.77,11844.16,2274.96,52.54,24456.44
1/15/2021,17,10862.22,12102.79,2464.94,45.97,25475.92
1/15/2021,18,11825.58,12422.57,2620.05,53.25,26921.44
1/15/2021,19,11977.99,12271.49,2591.18,54.47,26895.14
1/15/2021,20,11618.02,11802.16,2480.27,53.92,25954.37
1/15/2021,21,11236.16,11342.80,2352.62,54.22,24985.81
1/15/2021,22,10818.66,10907.21,2240.12,53.94,24019.93
1/15/2021,23,10233.28,10412.21,2092.89,52.31,22790.69
1/15/2021,24,9617.63,9834.53,2000.03,51.45,21503.63
1/16/2021,1,9260.79,9327.38,1888.10,50.22,20526.49
1/16/2021,2,9120.94,8955.21,1809.73,50.47,19936.36
1/16/2021,3,9070.41,8723.41,1742.20,51.93,19587.96
1/16/2021,4,8966.75,8635.64,1712.51,54.65,19369.55
1/16/2021,5,9071.69,8683.26,1719.13,58.96,19533.04
1/16/2021,6,9251.27,8920.15,1768.15,65.39,20004.97
1/16/2021,7,9717.08,9275.86,1851.75,72.06,20916.72
1/16/2021,8,9952.51,9367.36,1866.19,75.24,21261.30
1/16/2021,9,10029.40,9465.19,1775.56,78.56,21348.71
1/16/2021,10,9515.32,9324.75,1707.02,74.52,20621.61
1/16/2021,11,9025.61,9318.51,1593.75,65.59,20003.47
1/16/2021,12,8298.09,9308.64,1565.50,60.43,19232.66
1/16/2021,13,8097.76,9434.37,1585.89,57.12,19175.15
1/16/2021,14,8431.40,9631.24,1660.85,55.13,19778.61
1/16/2021,15,8613.80,9944.55,1827.43,54.53,20440.30
1/16/2021,16,9119.76,10270.91,2025.10,51.77,21467.54
1/16/2021,17,10088.58,10746.19,2176.37,45.21,23056.36
1/16/2021,18,11111.24,11418.97,2417.62,50.77,24998.61
1/16/2021,19,11396.55,11547.75,2454.10,51.80,25450.21
1/16/2021,20,11117.92,11244.31,2365.33,52.19,24779.76
1/16/2021,21,10776.49,10874.31,2260.02,52.45,23963.29
1/16/2021,22,10472.72,10542.71,2154.52,51.72,23221.67
1/16/2021,23,9991.79,10048.77,2017.56,50.41,22108.53
1/16/2021,24,9424.44,9525.96,1885.71,51.00,20887.11
1/17/2021,1,9046.67,9121.28,1816.62,52.13,20036.69
1/17/2021,2,8738.93,8810.07,1743.01,53.87,19345.88
1/17/2021,3,8533.23,8595.23,1703.95,56.20,18888.61
1/17/2021,4,8392.40,8469.79,1678.04,59.74,18599.97
1/17/2021,5,8499.49,8445.07,1673.16,64.43,18682.14
1/17/2021,6,8673.24,8601.61,1714.92,70.65,19060.43
1/17/2021,7,9029.39,8827.64,1772.94,78.07,19708.03
1/17/2021,8,9321.17,8750.86,1793.70,81.55,19947.27
1/17/2021,9,9261.92,8805.08,1731.70,82.61,19881.30
1/17/2021,10,9046.82,8615.17,1637.44,75.49,19374.91
1/17/2021,11,8697.82,8543.07,1553.23,59.99,18854.12
1/17/2021,12,8407.97,8669.24,1540.01,60.70,18677.92
1/17/2021,13,8322.72,8869.97,1561.47,56.59,18810.75
1/17/2021,14,8428.66,9153.83,1631.48,54.18,19268.15
1/17/2021,15,8706.89,9602.57,1810.03,54.24,20173.73
1/17/2021,16,8859.92,10151.37,2029.67,51.93,21092.89
1/17/2021,17,9801.63,10566.79,2190.88,45.41,22604.71
1/17/2021,18,10908.47,11285.00,2424.32,52.30,24670.10
