Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/16/2022,14,8725.62,9012.15,1888.50,52.57,19678.85
1/16/2022,15,9143.53,9214.67,1957.23,51.29,20366.73
1/16/2022,16,9712.18,9600.52,2165.95,53.79,21532.43
1/16/2022,17,10351.31,10144.37,2297.70,59.60,22852.98
1/16/2022,18,11498.20,10976.21,2447.92,71.81,24994.13
1/16/2022,19,11758.43,11127.82,2460.65,75.18,25422.07
1/16/2022,20,11516.92,10924.36,2392.45,76.91,24910.65
1/16/2022,21,11230.65,10664.93,2302.11,78.51,24276.19
1/16/2022,22,10850.34,10305.23,2197.73,78.43,23431.72
1/16/2022,23,10386.73,9820.54,2044.30,76.68,22328.26
1/16/2022,24,9812.44,9395.10,1901.16,76.70,21185.41
1/17/2022,1,9505.67,9016.45,1852.66,77.75,20452.53
1/17/2022,2,9289.20,8822.53,1785.47,78.76,19975.97
1/17/2022,3,9096.24,8586.94,1742.21,81.33,19506.72
1/17/2022,4,9126.04,8646.58,1729.49,84.25,19586.36
1/17/2022,5,9312.06,8833.71,1757.03,88.70,19991.51
1/17/2022,6,9907.12,9396.78,1860.29,95.71,21259.91
1/17/2022,7,10651.84,10125.03,2007.36,102.61,22886.84
1/17/2022,8,11274.22,10556.42,2066.40,105.06,24002.10
1/17/2022,9,11408.66,10951.47,2115.01,98.87,24574.02
1/17/2022,10,11106.35,11104.80,2042.84,90.57,24344.54
1/17/2022,11,10613.94,11260.56,1953.88,76.53,23904.91
1/17/2022,12,10312.45,11346.95,2067.80,65.44,23792.64
1/17/2022,13,10086.49,11401.36,2126.49,58.94,23673.28
1/17/2022,14,10162.83,11556.00,2060.32,55.12,23834.28
1/17/2022,15,10289.94,11417.57,2083.46,55.94,23846.90
1/17/2022,16,10751.87,11313.58,2232.35,58.26,24356.06
1/17/2022,17,11394.07,11450.04,2466.74,64.33,25375.18
1/17/2022,18,12427.90,12146.00,2641.07,72.12,27287.09
1/17/2022,19,12646.68,12103.05,2606.80,73.06,27429.59
1/17/2022,20,12370.82,11939.18,2497.77,72.23,26880.00
1/17/2022,21,12001.25,11614.47,2417.90,70.70,26104.32
1/17/2022,22,11450.02,11209.44,2310.63,67.97,25038.07
1/17/2022,23,10692.19,10585.00,2096.07,64.36,23437.62
1/17/2022,24,10002.96,9953.67,1915.65,62.19,21934.46
1/18/2022,1,9718.04,9447.22,1868.07,61.24,21094.57
1/18/2022,2,9430.84,9206.85,1797.73,60.64,20496.06
1/18/2022,3,9277.32,9068.11,1811.82,61.69,20218.95
1/18/2022,4,9316.28,9047.81,1913.65,63.69,20341.42
1/18/2022,5,9570.27,9133.32,1820.27,67.01,20590.86
1/18/2022,6,10213.14,9646.14,1959.43,74.18,21892.88
1/18/2022,7,11234.97,10423.65,2161.60,81.46,23901.68
1/18/2022,8,12081.44,10884.23,2221.24,83.11,25270.02
1/18/2022,9,11953.68,11267.08,2223.40,78.99,25523.16
1/18/2022,10,11304.71,11447.58,2214.23,74.16,25040.68
1/18/2022,11,10639.89,11351.93,2117.86,65.97,24175.65
1/18/2022,12,10135.94,11022.70,1983.42,56.41,23198.47
